CPIAUCSL,FEDFUNDS,M2SL,M2V,GDPC1
53.1,5.22,947.9,1.7403333333333335,6033.848666666667
53.5,5.55,963.0,1.7396666666666667,6068.087333333333
54.0,6.1,975.1,1.739,6102.326
54.2,6.14,983.1,1.7426666666666668,6129.727333333333
54.6,6.24,991.5,1.7463333333333333,6157.1286666666665
54.9,5.82,997.8,1.75,6184.53
55.3,5.22,1006.9,1.7506666666666666,6230.903
55.6,5.2,1016.2,1.7513333333333334,6277.276
55.8,4.87,1026.6,1.752,6323.649
55.9,4.77,1040.3,1.745,6339.107666666667
56.0,4.84,1050.0,1.738,6354.566333333333
56.1,4.82,1060.8,1.731,6370.025
56.4,5.29,1072.1,1.7263333333333335,6381.6483333333335
56.7,5.48,1077.6,1.7216666666666667,6393.2716666666665
57.0,5.31,1086.3,1.717,6404.895
57.3,5.29,1098.7,1.711,6420.3223333333335
57.6,5.25,1110.8,1.705,6435.749666666667
57.9,5.02,1125.0,1.699,6451.177
58.1,4.95,1138.2,1.6956666666666667,6476.685666666666
58.4,4.65,1152.0,1.6923333333333335,6502.194333333334
58.7,4.61,1165.2,1.689,6527.703
59.3,4.68,1177.6,1.693,6569.957333333334
59.6,4.69,1188.5,1.697,6612.211666666667
60.0,4.73,1199.6,1.701,6654.466
60.2,5.35,1209.0,1.705,6694.463000000001
60.5,5.39,1217.8,1.709,6734.46
60.8,5.42,1226.7,1.713,6774.457
61.1,5.9,1237.0,1.7136666666666667,6774.502
61.3,6.14,1246.2,1.7143333333333335,6774.547
61.6,6.47,1254.0,1.715,6774.592
62.0,6.51,1262.4,1.7143333333333335,6781.814666666666
62.3,6.56,1270.3,1.7136666666666667,6789.037333333334
62.7,6.7,1279.7,1.713,6796.26
63.0,6.78,1285.5,1.7353333333333334,6883.8133333333335
63.4,6.79,1292.2,1.7576666666666667,6971.366666666667
63.9,6.89,1300.4,1.78,7058.92
64.5,7.36,1310.5,1.785,7082.585
65.0,7.6,1318.5,1.79,7106.25
65.5,7.81,1324.1,1.795,7129.915
65.9,8.04,1333.5,1.804,7161.86
66.5,8.45,1345.0,1.813,7193.805
67.1,8.96,1352.3,1.822,7225.75
67.5,9.76,1359.1,1.8253333333333335,7230.075666666667
67.9,10.03,1366.0,1.8286666666666667,7234.401333333333
68.5,10.07,1371.6,1.832,7238.727
69.2,10.06,1377.8,1.833,7241.3026666666665
69.9,10.09,1387.8,1.834,7243.878333333333
70.6,10.01,1402.1,1.835,7246.454
71.4,10.24,1410.2,1.8386666666666667,7264.396333333333
